,fsq_id,categories,distance,location,name,timezone
0,4d441f7e2e326ea811b3e0a6,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2148,"{'address': 'Plot 38, Shop 7-8, Upper Ground Floor, Bungalow Road', 'address_extended': 'Near Croma Showroom, Kamla', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Plot 38, Shop 7-8, Upper Ground Floor, Bungalow Road, New Delhi 110007, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Kamla Nagar'], 'postcode': '110007', 'region': 'Delhi'}",Cafe Chill'm,Asia/Kolkata
1,5065e878e4b0175f2f9e4759,"[{'id': 13012, 'name': 'Hookah Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/hookahbar_', 'suffix': '.png'}}]",2186,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Feelings Hookah Lounge,Asia/Kolkata
2,52348fbb11d299d4b960e28e,"[{'id': 13012, 'name': 'Hookah Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/hookahbar_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13298, 'name': 'Lebanese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}]",2444,"{'address': '4/3 Roop Nagar, Kamla', 'address_extended': 'Opposite Kamla Nagar Market, Kamla', 'country': 'IN', 'cross_street': '', 'formatted_address': '4/3 Roop Nagar, Kamla, New Delhi 110007, Delhi', 'locality': 'New Delhi', 'postcode': '110007', 'region': 'Delhi'}",Bromfy Public House,Asia/Kolkata
3,5402b069498e01d8c2e18a1e,"[{'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",2717,"{'country': 'IN', 'cross_street': '', 'formatted_address': '201301, Uttar Pradesh', 'postcode': '201301', 'region': 'Uttar Pradesh'}",Hotel Grand Venezia,Asia/Kolkata
4,55bf773d498e79825a6e2d2e,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",2867,"{'address': 'Inside Vivek Hotel', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Inside Vivek Hotel, 941735', 'postcode': '941735'}",Sam's restaurant and bar,Asia/Kolkata
5,502929e9e4b0ca628adad9af,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13199, 'name': 'Indian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/indian_', 'suffix': '.png'}}]",2949,"{'address': '3 Local Shopping Centre, Gujranwala Town, Phase 1', 'country': 'IN', 'cross_street': '', 'formatted_address': '3 Local Shopping Centre, Gujranwala Town, Phase 1, 110007', 'neighborhood': ['Model Town 1'], 'postcode': '110007'}",Gola Northend,Asia/Kolkata
6,512b65dce4b0edd36498d485,"[{'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",3335,"{'country': 'IN', 'cross_street': '', 'formatted_address': '122002, Haryana', 'neighborhood': ['Sector 53 Gurgaon'], 'postcode': '122002', 'region': 'Haryana'}",Grand Plaza,Asia/Kolkata
7,4cbb08b2dd41a35d63abeba0,"[{'id': 10000, 'name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",5143,"{'address': 'B-97, Wazirpur Ring Road, Block B, Wazirpur Industrial Area', 'address_extended': 'Opposite Shalimar Bagh, Block B, Wazirpur Industrial Area', 'country': 'IN', 'cross_street': '', 'formatted_address': 'B-97, Wazirpur Ring Road, Block B, Wazirpur Industrial Area, New Delhi 110052, Delhi', 'locality': 'New Delhi', 'neighborhood': ['West Delhi/North-West Delhi'], 'postcode': '110052', 'region': 'Delhi'}",All Heavens,Asia/Kolkata
8,bb2fee5e058c4bea55656012,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",960,"{'address': 'Tibetan Colony, Majnu-ka-Tilla', 'country': 'IN', 'formatted_address': 'Tibetan Colony, Majnu-ka-Tilla, 702436', 'postcode': '702436'}","AMA Restaurant, Majnu Ka Tila",
9,53fd69c1b1bc4ca6624c5f43,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",1169,"{'address': '2261 Ground Floor, Hudson Lane, Delhi University, Gtb', 'country': 'IN', 'formatted_address': '2261 Ground Floor, Hudson Lane, Delhi University, Gtb, New Delhi 110009, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Guru Teg Bahadur Nagar'], 'postcode': '110009', 'region': 'Delhi'}",Super Hero Cafe,
