,fsq_id,categories,distance,location,name,timezone
0,528bd1b411d223d6a9a3606e,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",1181,"{'country': 'IN', 'cross_street': '', 'formatted_address': 'New Delhi 941735, Delhi', 'locality': 'New Delhi', 'postcode': '941735', 'region': 'Delhi'}",Deb D's Warehouse,Asia/Kolkata
1,5a76d27bf870fd64d7ca5b13,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13218, 'name': 'North Indian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",1822,"{'address': 'Main Road, Madhu Vihar', 'country': 'IN', 'cross_street': 'I.P Extension', 'formatted_address': 'Main Road, Madhu Vihar (I.P Extension), New Delhi 110092, Delhi', 'locality': 'New Delhi', 'postcode': '110092', 'region': 'Delhi'}",Singla Sweets and Restaurant,Asia/Kolkata
2,4f67141f121d4a10ec78bc15,"[{'id': 13012, 'name': 'Hookah Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/hookahbar_', 'suffix': '.png'}}]",2471,"{'address': 'Edm Mall, Level -3', 'country': 'IN', 'cross_street': 'Anand Vihar Metro', 'formatted_address': 'Edm Mall, Level -3 (Anand Vihar Metro), Ghāziābād 201010, Uttar Pradesh', 'locality': 'Ghāziābād', 'postcode': '201010', 'region': 'Uttar Pradesh'}",Chillum Discotheque,Asia/Kolkata
3,50362d7ee4b08267305b9a0f,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}]",2626,"{'country': 'IN', 'cross_street': '', 'formatted_address': '941735', 'postcode': '941735'}",Lust Cocktail Bar,Asia/Kolkata
4,4f16ed11e4b072566220c69d,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2893,"{'address': 'Angel Mall', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Angel Mall, Ghāziābād 640463, Uttar Pradesh', 'locality': 'Ghāziābād', 'postcode': '640463', 'region': 'Uttar Pradesh'}",Mocking Bird,Asia/Kolkata
5,55ce21aa498ef72280c0343e,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3254,"{'country': 'IN', 'cross_street': '', 'formatted_address': '941735', 'postcode': '941735'}",Utopia,Asia/Kolkata
6,506b1e56e4b04db9a9a052f3,"[{'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",3289,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Bar @ Clark's Inn,Asia/Kolkata
7,4fa4153de4b089a95954c132,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3548,"{'address': 'East End Apartments', 'country': 'IN', 'cross_street': '', 'formatted_address': 'East End Apartments, Delhi 110096, Delhi', 'locality': 'Delhi', 'postcode': '110096', 'region': 'Delhi'}",Maya Bar,Asia/Kolkata
8,4e638d0f18a8ce02fd52e66c,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3616,"{'address': 'Vaishali', 'country': 'IN', 'cross_street': 'Sec 2', 'formatted_address': 'Vaishali (Sec 2), Ghāziābād 335049, Uttar Pradesh', 'locality': 'Ghāziābād', 'postcode': '335049', 'region': 'Uttar Pradesh'}",Wine and Beer Shop,Asia/Kolkata
9,4ec4ae4d77c8d69510e65e90,"[{'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",3738,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Hotel Plaza Di Lara,Asia/Kolkata
