,fsq_id,categories,distance,location,name,timezone
0,5246ba4511d259d9edecb51f,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13049, 'name': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}, {'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}]",3284,"{'address': '2/5, J Block, B.K. Dutt Market', 'country': 'IN', 'cross_street': 'Near Rajouri Garden Metro Station', 'formatted_address': '2/5, J Block, B.K. Dutt Market (Near Rajouri Garden Metro Station), New Delhi 110027, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Rajouri Garden'], 'postcode': '110027', 'region': 'Delhi'}",The California Boulevard,Asia/Kolkata
1,4e94717077c82b6a71f10b03,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13026, 'name': 'BBQ Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bbqalt_', 'suffix': '.png'}}, {'id': 13072, 'name': 'Asian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",3394,"{'address': 'Rajouri Garden | Gurgaon', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Rajouri Garden | Gurgaon, New Delhi 931735, Chandigarh', 'locality': 'New Delhi', 'postcode': '931735', 'region': 'Chandigarh'}",Pirates of Grill,Asia/Kolkata
2,52addf3011d24165121775f1,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",1736,"{'address': '49 Ground Floor, North West Avenue, Club Road, Punjabi Bagh West', 'country': 'IN', 'cross_street': '', 'formatted_address': '49 Ground Floor, North West Avenue, Club Road, Punjabi Bagh West, Punjabi Bagh 110026, Delhi', 'locality': 'Punjabi Bagh', 'neighborhood': ['Punjabi Bagh West'], 'postcode': '110026', 'region': 'Delhi'}",The Backyard,Asia/Kolkata
3,4d578f2a8147f04de72b9854,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",3352,"{'address': '2/13, Bk Dutt Market, Block J', 'country': 'IN', 'cross_street': '', 'formatted_address': '2/13, Bk Dutt Market, Block J, New Delhi 110027, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Rajouri Garden'], 'postcode': '110027', 'region': 'Delhi'}",Wok in the Clouds,Asia/Kolkata
4,4f143e37e4b0958ec3feee71,"[{'id': 13012, 'name': 'Hookah Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/hookahbar_', 'suffix': '.png'}}]",449,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}","Cafe 84, central mkt. ,punjabi bagh",Asia/Kolkata
5,59f3718d3fcee85bd8abea83,"[{'id': 10000, 'name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",1266,"{'address': 'Club Road', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Club Road, New Delhi 110026, Delhi', 'locality': 'New Delhi', 'postcode': '110026', 'region': 'Delhi'}",Take Off Scarlet,Asia/Kolkata
6,577d4121498e78dc349b7925,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",1267,"{'address': '15-c, Club Road', 'country': 'IN', 'cross_street': 'Punjabi Bagh', 'formatted_address': '15-c, Club Road (Punjabi Bagh), New Delhi 110026, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Punjabi Bagh'], 'postcode': '110026', 'region': 'Delhi'}",Raftaar Lounge and Bar,Asia/Kolkata
7,559ac89c498e605995b087f7,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",1371,"{'address': '27 North West Avenue Club Road West', 'country': 'IN', 'cross_street': '', 'formatted_address': '27 North West Avenue Club Road West, New Delhi 110026, Delhi', 'locality': 'New Delhi', 'postcode': '110026', 'region': 'Delhi'}",The Submarine Lounge,Asia/Kolkata
8,4edcfa6393ad464d2b8ece70,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2343,"{'address': 'Kirti', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Kirti'}",Et Al Bar,Asia/Kolkata
9,4e1f02c4ae60cd553dec969c,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",2665,"{'address': 'Mgf Metropolitan Mall', 'address_extended': '3rd Floor', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Mgf Metropolitan Mall, New Delhi 110017, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Saket'], 'postcode': '110017', 'region': 'Delhi'}",F Grill and Lounge,Asia/Kolkata
