,fsq_id,categories,distance,location,name,timezone
0,514320d9e4b07d53cd2138f6,"[{'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",1704,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Cherry Bar@Kempinsky,Asia/Kolkata
1,4fb91b30e4b04b94bee3a226,"[{'id': 13012, 'name': 'Hookah Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/hookahbar_', 'suffix': '.png'}}]",2110,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Oxford,Asia/Kolkata
2,55ce21aa498ef72280c0343e,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3057,"{'country': 'IN', 'cross_street': '', 'formatted_address': '941735', 'postcode': '941735'}",Utopia,Asia/Kolkata
3,506b1e56e4b04db9a9a052f3,"[{'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",3067,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Bar @ Clark's Inn,Asia/Kolkata
4,5146bfa0e4b086fe0eb3e58d,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}]",3692,"{'address': 'Mayur Vihar Extension', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Mayur Vihar Extension, 941735, Delhi', 'postcode': '941735', 'region': 'Delhi'}",Code Restro Bar,Asia/Kolkata
5,4ed8e0a1e5fa78b16c3f364d,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3721,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",1911 The Bar- The Imperial,Asia/Kolkata
6,4f67141f121d4a10ec78bc15,"[{'id': 13012, 'name': 'Hookah Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/hookahbar_', 'suffix': '.png'}}]",4440,"{'address': 'Edm Mall, Level -3', 'country': 'IN', 'cross_street': 'Anand Vihar Metro', 'formatted_address': 'Edm Mall, Level -3 (Anand Vihar Metro), Ghāziābād 201010, Uttar Pradesh', 'locality': 'Ghāziābād', 'postcode': '201010', 'region': 'Uttar Pradesh'}",Chillum Discotheque,Asia/Kolkata
7,5a76d27bf870fd64d7ca5b13,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13218, 'name': 'North Indian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",4453,"{'address': 'Main Road, Madhu Vihar', 'country': 'IN', 'cross_street': 'I.P Extension', 'formatted_address': 'Main Road, Madhu Vihar (I.P Extension), New Delhi 110092, Delhi', 'locality': 'New Delhi', 'postcode': '110092', 'region': 'Delhi'}",Singla Sweets and Restaurant,Asia/Kolkata
8,eb965199624d412f72514f94,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",1392,"{'address': '1/6692, Hanuman Road East', 'country': 'IN', 'formatted_address': '1/6692, Hanuman Road East, New Delhi 110032, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Hanuman Road'], 'postcode': '110032', 'region': 'Delhi'}",Prem Punjab Restaurant,
9,d9075392c190422bbd8fbdf3,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",1625,"{'address': 'F-11 .And 12, 3rd Lane', 'country': 'IN', 'formatted_address': 'F-11 .And 12, 3rd Lane, New Delhi 110051, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Krishna Nagar'], 'postcode': '110051', 'region': 'Delhi'}",The Chaupal Bar and Restaurant,
10,18faf618dddf40bed0bffd8e,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2944,"{'address': '198-a, Pocket H, Dilshad Garden', 'address_extended': 'Near Sai', 'country': 'IN', 'formatted_address': '198-a, Pocket H, Dilshad Garden, New Delhi 110095, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Dilshad Garden'], 'postcode': '110095', 'region': 'Delhi'}",Cheese Bar Cafe,
11,4cd0176167334dd92644627a,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3040,"{'address': 'Karkardooma Community Center, 7, Ground Floor', 'country': 'IN', 'formatted_address': 'Karkardooma Community Center, 7, Ground Floor, 110092, Delhi', 'postcode': '110092', 'region': 'Delhi'}",Indian Sizzler Company a unit of Utopia,
12,81958fb385d441ba656a4141,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",3106,"{'address': 'Ashish Corporate Tower, Karkardooma Commercial Complex, Karkardooma', 'country': 'IN', 'formatted_address': 'Ashish Corporate Tower, Karkardooma Commercial Complex, Karkardooma, 110002', 'neighborhood': ['Karkardooma'], 'postcode': '110002'}",Aroma RestoBar,
