,fsq_id,categories,distance,location,name,timezone
0,5565be41498e8dbbc0fee0ba,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",4792,"{'country': 'IN', 'cross_street': '', 'formatted_address': 'New Delhi, Delhi', 'locality': 'New Delhi', 'region': 'Delhi'}",Q'La,Asia/Kolkata
1,4f3e8d73e4b046e823f2e0a0,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",4741,"{'address': '1501 Kalka Das Marg', 'country': 'IN', 'cross_street': 'Mehrauli', 'formatted_address': '1501 Kalka Das Marg (Mehrauli), New Delhi 110030, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Mehrauli'], 'postcode': '110030', 'region': 'Delhi'}",Cheri One,Asia/Kolkata
2,4c93a29082b56dcb0193c7aa,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3160,"{'address': 'Said Ul Ajaib', 'country': 'IN', 'cross_street': 'Garden of 5 senses', 'formatted_address': 'Said Ul Ajaib (Garden of 5 senses), Delhi 941735, Delhi', 'locality': 'Delhi', 'postcode': '941735', 'region': 'Delhi'}",The Zoo,Asia/Kolkata
3,4bdaf0033904a593feed479e,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",4374,"{'address': 'Community Center Saket', 'country': 'IN', 'cross_street': 'Saket', 'formatted_address': 'Community Center Saket (Saket), New Delhi 110017, Delhi', 'locality': 'New Delhi', 'postcode': '110017', 'region': 'Delhi'}",T'zers,Asia/Kolkata
4,518524ad498ec9a9c08bee51,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",1615,"{'country': 'IN', 'cross_street': '', 'formatted_address': '110030', 'postcode': '110030'}",Trafalgar,Asia/Kolkata
5,4ec005934690d233897521e7,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",2021,"{'country': 'IN', 'cross_street': '', 'formatted_address': 'New Delhi 502834, Delhi', 'locality': 'New Delhi', 'postcode': '502834', 'region': 'Delhi'}",Desiii,Asia/Kolkata
6,55fedb4f498e3854e3f1fa3b,"[{'id': 13015, 'name': 'Karaoke Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/karaoke_', 'suffix': '.png'}}]",2173,"{'address': 'Adhichini', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Adhichini, Delhi, Delhi', 'locality': 'Delhi', 'region': 'Delhi'}",Tc Bar and Restaurant,Asia/Kolkata
7,4ebabfa44690c3136232f885,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",4441,"{'address': 'The Crescent Hotel, Lado Sarai', 'address_extended': '3rd Floor', 'country': 'IN', 'cross_street': 'Mehrauli', 'formatted_address': 'The Crescent Hotel, Lado Sarai (Mehrauli), New Delhi 110030, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Lado Sarai'], 'postcode': '110030', 'region': 'Delhi'}",Shroom,Asia/Kolkata
8,50cb5078e4b0c490b6b91433,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3149,"{'address': 'Off Vinay Marg', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Off Vinay Marg, New Delhi, Delhi', 'locality': 'New Delhi', 'region': 'Delhi'}",Lutyens Bar at CSOI,Asia/Kolkata
9,51ba2a43498ef30dcb46e948,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3231,"{'address': 'Garden Of Five Senses, Saket', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Garden Of Five Senses, Saket, New Delhi, Delhi', 'locality': 'New Delhi', 'region': 'Delhi'}",Themis,Asia/Kolkata
10,5992cf3559fe5c55c9544d9b,"[{'id': 13010, 'name': 'Dive Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/divebar_', 'suffix': '.png'}}]",3319,"{'country': 'IN', 'cross_street': '', 'formatted_address': 'New Delhi 110074, Delhi', 'locality': 'New Delhi', 'postcode': '110074', 'region': 'Delhi'}",Diva Bar And Lounge,Asia/Kolkata
11,4eff46627ee5f14f397c5448,"[{'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",3972,"{'address': 'Intercontinental Nehru Place', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Intercontinental Nehru Place, New Delhi 110019, Delhi', 'locality': 'New Delhi', 'postcode': '110019', 'region': 'Delhi'}",Jynxxx,Asia/Kolkata
12,4d2ca3c34ab78eecb9103326,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",4143,"{'address': '18-19, Community Centre, Saket', 'country': 'IN', 'cross_street': 'PVR Saket Complex', 'formatted_address': '18-19, Community Centre, Saket (PVR Saket Complex), New Delhi 110017, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Saket'], 'postcode': '110017', 'region': 'Delhi'}",Xplode Lounge and Bar,Asia/Kolkata
13,55da0b0c498e831333bd8dfc,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",4163,"{'country': 'IN', 'cross_street': '', 'formatted_address': '520558', 'postcode': '520558'}",Ice Lounge,Asia/Kolkata
14,4ead754a4690615f26983b4d,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",4175,"{'address': 'Pvr Saket Complex', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Pvr Saket Complex, Delhi 941735, Delhi', 'locality': 'Delhi', 'postcode': '941735', 'region': 'Delhi'}",The Beach,Asia/Kolkata
15,4ca9f74576d3a0931fb2246b,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",4176,"{'address': '15 And 16, J Block Market, Saket', 'address_extended': '1st Floor', 'country': 'IN', 'cross_street': 'Saket', 'formatted_address': '15 And 16, J Block Market, Saket (Saket), New Delhi 110017, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Saket'], 'postcode': '110017', 'region': 'Delhi'}",Big Banana Bar and Restaurant,Asia/Kolkata
16,4e47aec6183849317e877e9d,"[{'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",4243,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Fortune Chatarpur,Asia/Kolkata
