,fsq_id,categories,distance,location,name,timezone
0,57433002498ee283c1622a24,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2257,"{'country': 'IN', 'cross_street': '', 'formatted_address': '548635, Delhi', 'postcode': '548635', 'region': 'Delhi'}",Nehru Place Social,Asia/Kolkata
1,4cd028d66449a093b4ebc8cf,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",817,"{'address': 'Kalkaji', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Kalkaji, New Delhi 110019, Delhi', 'locality': 'New Delhi', 'postcode': '110019', 'region': 'Delhi'}",BMK,Asia/Kolkata
2,4d3993e3039eb60c5c10e39c,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",874,"{'address': 'B-11/2, Okhla Industrial Area Phase 2', 'address_extended': 'Near Hero Honda Showroom', 'country': 'IN', 'cross_street': 'Okhla', 'formatted_address': 'B-11/2, Okhla Industrial Area Phase 2 (Okhla), New Delhi 110020, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Okhla Industrial Estate Phase 2'], 'postcode': '110020', 'region': 'Delhi'}",Gautam Paradise Bar and Restaurant,Asia/Kolkata
3,4f995579e4b0a6559d267c30,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",1745,"{'address': 'Hotel Crowne Plaza', 'country': 'IN', 'cross_street': 'Okhla', 'formatted_address': 'Hotel Crowne Plaza (Okhla), New Delhi 110020, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Okhla'], 'postcode': '110020', 'region': 'Delhi'}",Copper Bar,Asia/Kolkata
4,4caeaa9c91529c74624842b8,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3291,"{'address': 'Hs-26, Kailash Colony Market, Part 1, Greater Kailash', 'country': 'IN', 'cross_street': 'GK-1', 'formatted_address': 'Hs-26, Kailash Colony Market, Part 1, Greater Kailash (GK-1), New Delhi 110048, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Greater Kailash'], 'postcode': '110048', 'region': 'Delhi'}",The Barrel House by Cafe 27,Asia/Kolkata
5,549fd1b2498ed7b6f865b674,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",2029,"{'address': 'Community Centre', 'country': 'IN', 'cross_street': 'Next to Pebble Street', 'formatted_address': 'Community Centre (Next to Pebble Street), Delhi 565702, Delhi', 'locality': 'Delhi', 'postcode': '565702', 'region': 'Delhi'}",Admission Lounge,Asia/Kolkata
6,4d4176417a516ea8d021c482,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",2084,"{'address': '15 Community Center, New Friends Colony', 'country': 'IN', 'cross_street': '', 'formatted_address': '15 Community Center, New Friends Colony, 110065', 'neighborhood': ['New Friends Colony'], 'postcode': '110065'}",Babelon Lounge,Asia/Kolkata
7,5144a6c7e4b03dc12f849270,"[{'id': 13007, 'name': 'Beer Garden', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]",2154,"{'country': 'IN', 'cross_street': '', 'formatted_address': '849270', 'postcode': '849270'}",CDB Come Drink Beer Cafe,Asia/Kolkata
8,4eee2eb18b81bbbf5e034dab,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2329,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Lure,Asia/Kolkata
9,534ea6d3498eb8aaf2c139fb,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2652,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Govt. Wine and Beer Shop,Asia/Kolkata
10,50dafe69e4b0bc5a74c33dca,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2864,"{'address': 'Forte Grand Chanakya Lane, Akbar Bhawan Annexe, Chanakyapuri', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Forte Grand Chanakya Lane, Akbar Bhawan Annexe, Chanakyapuri'}",Pepper Bistro Lounge,Asia/Kolkata
11,5715f1fa498eb0da0c6323a3,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3029,"{'address': 'M60, Ground Floor, M Block Market, Greater Kailash 2', 'country': 'IN', 'cross_street': '', 'formatted_address': 'M60, Ground Floor, M Block Market, Greater Kailash 2, New Delhi 110048, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Greater Kailash 2'], 'postcode': '110048', 'region': 'Delhi'}",Tashan,Asia/Kolkata
