,fsq_id,categories,distance,location,name,timezone
0,4d876291d1854eb9802aaa60,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",9403,"{'address': 'Terminal 3, Departure', 'country': 'IN', 'cross_street': 'Indira Gandhi International Airport', 'formatted_address': 'Terminal 3, Departure (Indira Gandhi International Airport), Delhi 110037, Delhi', 'locality': 'Delhi', 'postcode': '110037', 'region': 'Delhi'}",Smoke House Bar Cafe,Asia/Kolkata
1,4d9f23f5640b5481ee8dd92d,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",6942,"{'address': 'Manish Location Plaza, 1, Ashirwad', 'address_extended': '3rd Floor', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Manish Location Plaza, 1, Ashirwad, New Delhi 110075, Delhi', 'locality': 'New Delhi', 'postcode': '110075', 'region': 'Delhi'}",Hi Mirchi Restaurant,Asia/Kolkata
2,5400b5ba498eb6b67d7c6a21,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",5658,"{'address': 'Dwarka, Sector 13', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Dwarka, Sector 13, New Delhi 941735, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Dwarka'], 'postcode': '941735', 'region': 'Delhi'}",A State of Music- ASOM,Asia/Kolkata
3,536f9922498ed5bb39818eae,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",5690,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Zeppelin,Asia/Kolkata
4,5149e32519a9ebdbd91d4a50,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",5693,"{'address': 'Plot No 4, Sector 13, Dwarka, Radisson Blu Hotel', 'address_extended': 'Next To Metro Station, Dwarka City Centre, Near Igi Airport', 'country': 'IN', 'formatted_address': 'Plot No 4, Sector 13, Dwarka, Radisson Blu Hotel, New Delhi 110078, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Sector 13 Dwarka'], 'postcode': '110078', 'region': 'Delhi'}",Zeppelin The Bar,Asia/Kolkata
5,4d92dd80f10ea093157f1c1e,"[{'id': 13012, 'name': 'Hookah Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/hookahbar_', 'suffix': '.png'}}]",6670,"{'address': 'Dawarka Sector 12', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Dawarka Sector 12, New Delhi 110075, Delhi', 'locality': 'New Delhi', 'postcode': '110075', 'region': 'Delhi'}",Waterpipe Lounge,Asia/Kolkata
6,52fceefc498e29e90e338230,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",6995,"{'address': 'Malik Plaza, Level 3 .And 4, Sector-4', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Malik Plaza, Level 3 .And 4, Sector-4, New Delhi 110075', 'locality': 'New Delhi', 'postcode': '110075'}",City 75,Asia/Kolkata
7,51978991498e0d5ad207ba84,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",7751,"{'address': 'Sector 10', 'country': 'IN', 'cross_street': 'Dwarka', 'formatted_address': 'Sector 10 (Dwarka), New Delhi 110075, Delhi', 'locality': 'New Delhi', 'postcode': '110075', 'region': 'Delhi'}",Fire And Ice,Asia/Kolkata
8,500ad755e4b0a62ff4723f9e,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",7940,"{'address': 'Sector 5', 'country': 'IN', 'cross_street': 'Dwarka', 'formatted_address': 'Sector 5 (Dwarka), 110075, Delhi', 'postcode': '110075', 'region': 'Delhi'}",Dilli Bar And Lounge,Asia/Kolkata
9,51433baee4b01105926b131f,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",8440,"{'address': 'Sector 11', 'country': 'IN', 'cross_street': 'Dwarka', 'formatted_address': 'Sector 11 (Dwarka), New Delhi 110075, Delhi', 'locality': 'New Delhi', 'postcode': '110075', 'region': 'Delhi'}",Spice Shot,Asia/Kolkata
10,58ee1bc530ecc6502e8e3c76,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}]",8733,"{'country': 'IN', 'cross_street': '', 'formatted_address': 'New Delhi 110061, Delhi', 'locality': 'New Delhi', 'postcode': '110061', 'region': 'Delhi'}",Tipples,Asia/Kolkata
