,fsq_id,categories,distance,location,name,timezone
0,5246ba4511d259d9edecb51f,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13049, 'name': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}, {'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}]",3363,"{'address': '2/5, J Block, B.K. Dutt Market', 'country': 'IN', 'cross_street': 'Near Rajouri Garden Metro Station', 'formatted_address': '2/5, J Block, B.K. Dutt Market (Near Rajouri Garden Metro Station), New Delhi 110027, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Rajouri Garden'], 'postcode': '110027', 'region': 'Delhi'}",The California Boulevard,Asia/Kolkata
1,4e94717077c82b6a71f10b03,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13026, 'name': 'BBQ Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bbqalt_', 'suffix': '.png'}}, {'id': 13072, 'name': 'Asian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",3192,"{'address': 'Rajouri Garden | Gurgaon', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Rajouri Garden | Gurgaon, New Delhi 931735, Chandigarh', 'locality': 'New Delhi', 'postcode': '931735', 'region': 'Chandigarh'}",Pirates of Grill,Asia/Kolkata
2,4d578f2a8147f04de72b9854,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",3293,"{'address': '2/13, Bk Dutt Market, Block J', 'country': 'IN', 'cross_street': '', 'formatted_address': '2/13, Bk Dutt Market, Block J, New Delhi 110027, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Rajouri Garden'], 'postcode': '110027', 'region': 'Delhi'}",Wok in the Clouds,Asia/Kolkata
3,52addf3011d24165121775f1,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",3949,"{'address': '49 Ground Floor, North West Avenue, Club Road, Punjabi Bagh West', 'country': 'IN', 'cross_street': '', 'formatted_address': '49 Ground Floor, North West Avenue, Club Road, Punjabi Bagh West, Punjabi Bagh 110026, Delhi', 'locality': 'Punjabi Bagh', 'neighborhood': ['Punjabi Bagh West'], 'postcode': '110026', 'region': 'Delhi'}",The Backyard,Asia/Kolkata
4,506d96cae4b0515e0ce1a196,"[{'id': 13007, 'name': 'Beer Garden', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]",1341,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",BUDWEISER vikaspuri,Asia/Kolkata
5,50363a0be4b08ff192ee6bb9,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",1420,"{'country': 'IN', 'cross_street': '', 'formatted_address': '110018, Delhi', 'postcode': '110018', 'region': 'Delhi'}",Spinns,Asia/Kolkata
6,4fcf66fee4b099486d0c0328,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",1675,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Beer Shop,Asia/Kolkata
7,4f536ba1e4b0b5893917b57b,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2021,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Delhi Dar-bar,Asia/Kolkata
8,5bb8df087c891c002d188a15,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2132,"{'country': 'IN', 'cross_street': '', 'formatted_address': 'New Delhi 110018, Delhi', 'locality': 'New Delhi', 'postcode': '110018', 'region': 'Delhi'}",The Beer Cafe,Asia/Kolkata
9,509bb6bce4b0bd1e678605e0,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2229,"{'country': 'IN', 'cross_street': '', 'formatted_address': '091427', 'postcode': '091427'}",Oro,Asia/Kolkata
10,5ab282359746171fc92eb761,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2310,"{'address': 'Unity One Mall', 'address_extended': '2nd Floor, Near Janak Puri West Metro Station, Janakpuri', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Unity One Mall, New Delhi 110058, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Janakpuri'], 'postcode': '110058', 'region': 'Delhi'}",Three Tuns Cafe and Bar,Asia/Kolkata
11,4dcf89d0c65bdac7137dddf0,"[{'id': 13012, 'name': 'Hookah Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/hookahbar_', 'suffix': '.png'}}]",2388,"{'country': 'IN', 'cross_street': '', 'formatted_address': 'New Delhi 110018, Delhi', 'locality': 'New Delhi', 'postcode': '110018', 'region': 'Delhi'}",Cocoo,Asia/Kolkata
12,58024f4c38facea40467ee39,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2903,"{'address': 'Janakpuri', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Janakpuri, New Delhi 110018, Delhi', 'locality': 'New Delhi', 'postcode': '110018', 'region': 'Delhi'}",The Beer Cafe,Asia/Kolkata
13,58024fb0d67cf0750e5c368e,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2903,"{'address': 'Janakpuri', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Janakpuri, New Delhi 621904, Delhi', 'locality': 'New Delhi', 'postcode': '621904', 'region': 'Delhi'}",The Beer Cafe Janakpuri,Asia/Kolkata
14,50b0c273e4b042e781344ea9,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",2996,"{'address': 'C2B/37C', 'country': 'IN', 'cross_street': '', 'formatted_address': 'C2B/37C, New Delhi 110058, Delhi', 'locality': 'New Delhi', 'postcode': '110058', 'region': 'Delhi'}",Kapoor's Rooftop,Asia/Kolkata
15,51b4b5ed498ec63242967ef2,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",3018,"{'address': 'Rajouri Garden', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Rajouri Garden'}",Freezelounge Bar,Asia/Kolkata
16,4f4b2642e4b0eddb53e81f9d,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",3070,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Gossip Lounge,Asia/Kolkata
17,527f569a11d2e4df45ebc349,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",3092,"{'country': 'IN', 'cross_street': '', 'formatted_address': ''}",Pulse Bar and Resturant,Asia/Kolkata
18,51b883b2498ebccca6df8e50,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",3163,"{'address': 'Hilton Hotel, Janakpuri', 'country': 'IN', 'cross_street': 'District Centre', 'formatted_address': 'Hilton Hotel, Janakpuri (District Centre), New Delhi, Delhi', 'locality': 'New Delhi', 'region': 'Delhi'}",MALT and Company,Asia/Kolkata
19,57b74244498e498c4224a54f,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",3214,"{'country': 'IN', 'cross_street': 'Vishal Enclave, Rajouri Garden', 'formatted_address': 'Vishal Enclave, Rajouri Garden, New Delhi 110027, Delhi', 'locality': 'New Delhi', 'postcode': '110027', 'region': 'Delhi'}",Factory,Asia/Kolkata
20,4c7216656b91b7131299f120,"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}, {'id': 13043, 'name': 'Donut Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/donuts_', 'suffix': '.png'}}]",737,"{'address': 'Domestic Retail Area, Terminal 3', 'country': 'IN', 'cross_street': 'Indira Gandhi International Airport', 'formatted_address': 'Domestic Retail Area, Terminal 3 (Indira Gandhi International Airport), New Delhi 941735, Delhi', 'locality': 'New Delhi', 'postcode': '941735', 'region': 'Delhi'}",Mad Over Donuts,Asia/Kolkata
21,50968831e4b075af19f53e2c,"[{'id': 13043, 'name': 'Donut Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/donuts_', 'suffix': '.png'}}]",4461,"{'address': 'Punjabi Bagh Club Road', 'country': 'IN', 'cross_street': 'West Punjabi Bagh', 'formatted_address': 'Punjabi Bagh Club Road (West Punjabi Bagh), New Delhi 110026, Delhi', 'locality': 'New Delhi', 'postcode': '110026', 'region': 'Delhi'}",Dunkin',Asia/Kolkata
22,4d45924a1928a35d3665c470,"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}, {'id': 13043, 'name': 'Donut Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/donuts_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",2134,"{'address': 'Pacific Mall, Food Court, Najafgarh Road', 'address_extended': '2nd Floor', 'country': 'IN', 'cross_street': 'Tagore Garden', 'formatted_address': 'Pacific Mall, Food Court, Najafgarh Road (Tagore Garden), Delhi 110018, Delhi', 'locality': 'Delhi', 'neighborhood': ['Tagore Garden'], 'postcode': '110018', 'region': 'Delhi'}",Mad Over Donuts,Asia/Kolkata
23,4e5a25b3185036bc29ef9fde,"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}, {'id': 13040, 'name': 'Dessert Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dessert_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",3728,"{'address': 'F-146, Main Road', 'country': 'IN', 'cross_street': 'Main Market, Opp Appeal', 'formatted_address': 'F-146, Main Road (Main Market, Opp Appeal), New Delhi 110027, Delhi', 'locality': 'New Delhi', 'neighborhood': ['Rajouri Garden'], 'postcode': '110027', 'region': 'Delhi'}",Anjlika Pastry Shop,Asia/Kolkata
24,4ea4300377c8d0ce5eaabb59,"[{'id': 13046, 'name': 'Ice Cream Parlor', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/icecream_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",3225,"{'address': 'Paschim Vihar', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Paschim Vihar, New Delhi 110015, Delhi', 'locality': 'New Delhi', 'postcode': '110015', 'region': 'Delhi'}",Giani's,Asia/Kolkata
25,4c2385259a67a593fc28de87,"[{'id': 13046, 'name': 'Ice Cream Parlor', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/icecream_', 'suffix': '.png'}}]",2496,"{'address': 'Jail Road', 'country': 'IN', 'cross_street': '', 'formatted_address': 'Jail Road, New Delhi 110018, Delhi', 'locality': 'New Delhi', 'postcode': '110018', 'region': 'Delhi'}",Gianis Ice Cream,Asia/Kolkata
26,510405ffe4b040a885e0bf15,"[{'id': 13046, 'name': 'Ice Cream Parlor', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/icecream_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",1332,"{'country': 'IN', 'cross_street': '', 'formatted_address': '110058', 'postcode': '110058'}",Giani's,Asia/Kolkata
